domain,site,HTTPS,Strict Transport,Preload ready?
hc.gov,Redirect – healthcare.gov,,,
astrongmiddleclass.gov,Redirect – whitehouse.gov,,,
budget.gov,Redirect – whitehouse.gov,,,
change.gov,,,,
egov.gov,Redirect – whitehouse.gov,,,
eop.gov,Redirect – whitehouse.gov,,,
ethics.gov,Redirect – data.gov,,,
exrwh.gov,N/A,,,
fiscalcommission.gov,,,,
joiningforces.gov,Redirect – whitehouse.gov,,,
letsmove.gov,,,,
nepa.gov,Redirect – doe.gov,,,
nstic.gov,Redirect – nist.gov,,,
omb.gov,Redirect – whitehouse.gov,,,
omblog.gov,Redirect – whitehouse.gov,,,
ondcp.gov,Redirect – whitehouse.gov,,,
ostp.gov,Redirect – whitehouse.gov,,,
pci.gov,N/A,,,
presidio.gov,,,,
presidiotrust.gov,Redirect – presidio.gov,,,
reachhigher.gov,Redirect – whitehouse.gov,,,
strongmiddleclass.gov,Redirect – whitehouse.gov,,,
ustr.gov,,YES,YES,no
wh.gov,Redirect – whitehouse.gov,,,
whitehouse.gov,,,,
whitehousedrugpolicy.gov,Redirect – whitehouse.gov,,,
